Nome/Razão Social;Data de Publicação do Ato;Nome do Município;UF
ADOLFO A. DE AGUIAR SOLUCOES EM INTERNET - ME;31/01/2017;Mendes;RJ
ADP3 TELECOMUNICACOES LTDA.;10/04/2012;São Paulo;SP
ADRENALINA NET LTDA ME;22/03/2010;Palmeira dos Índios;AL
ADRIANA SILVA DOMINGOS INFORMATICA;01/11/2013;Moreno;PE
ADRIANA SOUSA MATOS INFORMATICA - ME ;27/03/2015;Quixabeira;BA
ADRIANO CIRILO PASQUAL DONEDA EIRELI - ME;11/05/2016;Aparecida do Rio Doce;GO
Adriano da Silva Itaberá - ME;07/10/2015;Itaberá;SP
ADRIANO DIAS VIEIRA - ME;14/07/2014;Itatiba;SP
Adriano Henrique de Oliveira Serviços de Internet - ME;23/05/2016;Ipojuca;PE
ADRIANO LENZ COMERCIO DE PRODUTOS DE INFORMATICA ME;04/11/2014;Costa Marques;RO
ADRIANO RIBEIRO MENEGILDO - ME;15/04/2015;Santa Rita;PB
ADRIANO SEABRA LEAL - ME;21/10/2014;Ibirité;MG
ADRIANO SOUSA ALVES -  ME;09/05/2016;Beneditinos;PI
ADRIANO TELECOMUNICAÇÕES - EIRELI - ME;15/04/2014;Barracão;PR
ADRIANO VIEIRA DE LIMA - TELECOM - ME;22/03/2017;Cambé;PR
ADRIEL R. DA SILVA - ME;22/07/2016;Aral Moreira;MS
ADV NET SOLUTION INFORMÁTICA LTDA - ME;25/11/2011;Santana de Parnaíba;SP
ADVANTA SISTEMAS DE TELECOMUNICACOES E SERVICOS DE INFORMATICA LTDA.;31/10/2007;Barueri;SP
ADVANTAGE TELEINFORMATICA DO BRASIL LTDA  - ME;27/09/2016;Aracaju;SE
ADVANX INFROMATICA LTDA - ME;15/12/2014;Castro Alves;BA
ADW TELECOM - EIRELI - ME;26/09/2016;Serra;ES
ADYL NET ACESSO A INTERNET LTDA;09/01/2007;Nova Prata;RS
AECIO DO N. SANTOS - INFORMATICA - ME;28/03/2016;Afogados da Ingazeira;PE
AECIO MACARIO DOS SANTOS ME;10/02/2016;Lajedo;PE
AERO NETWORKS LTDA;30/01/2003;Campo Grande;MS
AFCH SOLUÇÕES E EMPREENDIMENTOS LTDA - ME;28/03/2016;Ribeirão das Neves;MG
AFINET SOLUÇÕES EM TECNOLOGIA DA INFORMAÇÃO LTDA ME;16/09/2010;Duque de Caxias;RJ
AFJ INFORMATICA LTDA;14/08/2015;Guarabira;PB
AFS TELECOM LTDA.  - ME;17/08/2017;Esmeraldas;MG
AFSNET TECNOLOGIA E SERVICOS EIRELI - ME;04/07/2016;Porto Velho;RO
AGADECOM TELECOMUNICAÇÕES E INFORMÁTICA LTDA.;06/10/2004;Barueri;SP
AGATANGELO TELECOM E INFORMÁTICA LTDA ME;08/06/2011;Teresópolis;RJ
